name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Retail on Belt Line Road,retail,"Dallas County, Texas",Belt Line Road,32.95337234337669,-96.82117222,54287.75063422918,35287.04,3278.166016,1052947.0,1052.95,2884.8,80.1,15650,63394,15,42,0.2398,Medium,High,High,352737.0,352.74,655.63,0.656,1311260.0,1.311
Movement Design District,commercial,"Dallas County, Texas",Glass Street,32.790068539750294,-96.82331643,28890.183575191248,18778.62,1744.533798,560344.0,560.34,1535.2,42.6,6632,86145,11,139,0.1023,Low,Medium,Medium,187715.0,187.72,348.91,0.349,697820.0,0.698
Costco,retail,"Dallas County, Texas",Churchill Way,32.919557211653014,-96.7684286,153347.45731834063,99675.85,9259.886465,2974276.0,2974.28,8148.7,226.1,7500,66543,5,26,0.1302,Medium,Medium,Medium,996382.0,996.38,1851.98,1.852,3703960.0,3.704
American Airlines Center,commercial,"Dallas County, Texas",Victory Avenue,32.79048501281591,-96.8102794,189856.3902560817,123406.65,11464.477785,3682390.0,3682.39,10088.7,280.0,16663,92291,81,132,0.2711,High,High,High,1233601.0,1233.6,2292.9,2.293,4585800.0,4.586
Exchange Logistics,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71868195286547,-96.87180395,115374.11656448776,74993.18,6966.866421999999,2237757.0,2237.76,6130.8,170.1,6250,47049,0,3,0.107,Medium,Medium,Low,749649.0,749.65,1393.37,1.393,2786740.0,2.787
Commercial on Glenfield Avenue,commercial,"Dallas County, Texas",Glenfield Avenue,32.71867466092288,-96.86906686,116608.20517384766,75795.33,7041.386157,2261693.0,2261.69,6196.4,172.0,6380,48422,0,3,0.1091,Medium,Medium,Low,757667.0,757.67,1408.28,1.408,2816560.0,2.817
Warehouse on Glenfield Avenue,warehouse,"Dallas County, Texas",Glenfield Avenue,32.71726052502369,-96.87034547,197909.0576196344,128640.89,11950.738681,3838577.0,3838.58,10516.6,291.9,6115,47642,0,3,0.1149,High,Medium,Low,1285923.0,1285.92,2390.15,2.39,4780300.0,4.78
Warehouse on Hansboro Avenue,warehouse,"Dallas County, Texas",Hansboro Avenue,32.716211248095306,-96.87218777,74306.32326592403,48299.11,4486.987319,1441220.0,1441.22,3948.5,109.6,5869,46581,0,3,0.0964,Medium,Medium,Low,482809.0,482.81,897.4,0.897,1794800.0,1.795
Commercial on South Lancaster Road,commercial,"Dallas County, Texas",South Lancaster Road,32.708571354405414,-96.80027496,183908.6725901141,119540.64,11105.325456,3567031.0,3567.03,9772.7,271.2,5275,37292,0,4,0.1007,High,Medium,Low,1194955.0,1194.96,2221.07,2.221,4442140.0,4.442
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90666026066305,-96.67111975,279127.6296055547,181432.96,16855.121983999998,5413865.0,5413.86,14832.5,411.6,3899,51780,0,5,0.0916,High,Low,Low,1813645.0,1813.64,3371.02,3.371,6742040.0,6.742
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90489025000001,-96.6726102,330732.8055155796,214976.32,19971.300128,6414782.0,6414.78,17574.7,487.7,3586,52623,0,5,0.0931,High,Low,Low,2148952.0,2148.95,3994.26,3.994,7988520.0,7.989
Warehouse on Miller Park North,warehouse,"Dallas County, Texas",Miller Park North,32.90499669152648,-96.66988678,231011.0773333101,150157.2,13949.60388,4480613.0,4480.61,12275.7,340.7,3658,50803,0,5,0.0822,High,Low,Low,1501005.0,1501.0,2789.92,2.79,5579840.0,5.58
Warehouse on South International Road,warehouse,"Dallas County, Texas",South International Road,32.90273231940744,-96.67288938,251883.7839568804,163724.46,15210.002334,4885453.0,4885.45,13384.8,371.5,3202,52541,0,5,0.0779,High,Low,Low,1636627.0,1636.63,3042.0,3.042,6084000.0,6.084
Warehouse on Loop 12 TEXpress,warehouse,"Dallas County, Texas",Loop 12 TEXpress,32.86982273,-96.89944349,135303.99580008065,87947.6,8170.33204,2624311.0,2624.31,7189.9,199.5,1161,33641,1,21,0.0335,Medium,Low,Low,879144.0,879.14,1634.07,1.634,3268140.0,3.268
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.86778185,-96.8997672,113223.6535,73595.37,6837.009872999999,2196048.0,2196.05,6016.6,167.0,1161,33297,1,20,0.0309,Medium,Low,Low,735676.0,735.68,1367.4,1.367,2734800.0,2.735
Warehouse on King William Drive,warehouse,"Dallas County, Texas",King William Drive,32.870200239811744,-96.90075389,119379.34510331044,77596.57,7208.721353000001,2315441.0,2315.44,6343.7,176.1,1161,33828,1,22,0.0316,Medium,Low,Low,775673.0,775.67,1441.74,1.442,2883480.0,2.883
Warehouse on Goodnight Lane,warehouse,"Dallas County, Texas",Goodnight Lane,32.87263882458236,-96.90090835,143503.32413160737,93277.16,8665.448164,2783342.0,2783.34,7625.6,211.6,1161,34134,1,23,0.0345,Medium,Low,Low,932420.0,932.42,1733.09,1.733,3466180.0,3.466
Commercial on Exhibit Terrace,commercial,"Dallas County, Texas",Exhibit Terrace,32.77982037962014,-96.75660956,58325.86683891274,37911.81,3522.007149,1131269.0,1131.27,3099.4,86.0,4239,63862,0,79,0.0702,Medium,Medium,Low,378975.0,378.98,704.4,0.704,1408800.0,1.409
Commercial on Jackson Street,commercial,"Dallas County, Texas",Jackson Street,32.77782107111343,-96.80330722,42174.25394138834,27413.27,2546.692783,817998.0,818.0,2241.1,62.2,11647,83838,68,127,0.1787,Low,High,High,274029.0,274.03,509.34,0.509,1018680.0,1.019
Commercial on South Market Street,commercial,"Dallas County, Texas",South Market Street,32.77551439265743,-96.8055489,55717.92814666559,36216.65,3364.526785,1080686.0,1080.69,2960.8,82.2,10128,80379,56,125,0.1576,Medium,Medium,High,362030.0,362.03,672.91,0.673,1345820.0,1.346
Industrial on Young Street,industrial,"Dallas County, Texas",Young Street,32.7751501,-96.80629657,65469.47775216728,42555.16,3953.374364,1269824.0,1269.82,3479.0,96.5,9796,79612,52,125,0.1539,Medium,Medium,High,425391.0,425.39,790.67,0.791,1581340.0,1.581
Warehouse on Miller Park South,warehouse,"Dallas County, Texas",Miller Park South,32.902912524900714,-96.67579358,288080.67472004413,187252.44,17395.751676,5587515.0,5587.52,15308.3,424.8,3151,54386,0,5,0.0815,High,Low,Low,1871818.0,1871.82,3479.15,3.479,6958300.0,6.958
Warehouse on Marquis Drive,warehouse,"Dallas County, Texas",Marquis Drive,32.90162252520609,-96.67569704,153883.3206390392,100024.16,9292.244464,2984669.0,2984.67,8177.2,226.9,2876,54172,0,5,0.0613,Medium,Low,Low,999864.0,999.86,1858.45,1.858,3716900.0,3.717
Academy Sports + Outdoors,retail,"Dallas County, Texas",Forest Central Drive,32.90653448416899,-96.76633775,57689.50033550211,37498.18,3483.580922,1118926.0,1118.93,3065.6,85.1,7263,71024,4,24,0.1152,Medium,Medium,Medium,374840.0,374.84,696.72,0.697,1393440.0,1.393
The Home Depot,commercial,"Dallas County, Texas",Forest Central Drive,32.907023155452364,-96.76481574,115372.3779309481,74992.05,6966.761445,2237724.0,2237.72,6130.8,170.1,7060,71329,4,24,0.1191,Medium,Medium,Medium,749638.0,749.64,1393.35,1.393,2786700.0,2.787
The Container Store,warehouse,"Dallas County, Texas",Ruby Road,32.960743977156994,-97.01023057,1069891.7620363822,695429.65,64605.414485,20751259.0,20751.26,56852.8,1577.8,1712,21167,0,14,0.1537,High,Low,Low,6951672.0,6951.67,12921.08,12.921,25842160.0,25.842
Warehouse on Loch Lane,warehouse,"Dallas County, Texas",Loch Lane,32.95830104,-97.00916614,558296.3352858685,362892.62,33712.724398,10828527.0,10828.53,29667.2,823.3,1709,21035,0,14,0.0924,High,Low,Low,3627557.0,3627.56,6742.54,6.743,13485080.0,13.485
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.683029316418256,-96.8650147,39117.72857178887,25426.52,2362.123708,758714.0,758.71,2078.7,57.7,3455,40344,0,7,0.0562,Low,Low,Low,254169.0,254.17,472.42,0.472,944840.0,0.945
Commercial on Saturn Drive,commercial,"Dallas County, Texas",Saturn Drive,32.685674168277224,-96.86493636,23296.15302596341,15142.5,1406.73825,451844.0,451.84,1237.9,34.4,3545,41226,0,2,0.0556,Low,Low,Low,151368.0,151.37,281.35,0.281,562700.0,0.563
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.67898442232267,-96.86276988,21051.422270886585,13683.42,1271.189718,408306.0,408.31,1118.6,31.0,3545,39136,0,8,0.0554,Low,Low,Low,136783.0,136.78,254.24,0.254,508480.0,0.508
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.679929801579014,-96.86254742,35875.74158448853,23319.23,2166.356467,695834.0,695.83,1906.4,52.9,3620,39489,0,7,0.0583,Low,Low,Low,233104.0,233.1,433.27,0.433,866540.0,0.867
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.68000259490315,-96.86192348,20691.54113,13449.5,1249.45855,401326.0,401.33,1099.5,30.5,3695,39546,0,7,0.0576,Low,Low,Low,134444.0,134.44,249.89,0.25,499780.0,0.5
Commercial on 1st Continental Place,commercial,"Dallas County, Texas",1st Continental Place,32.68036570510581,-96.86260684,28574.302635882515,18573.3,1725.4595699999998,554218.0,554.22,1518.4,42.1,3635,39645,0,7,0.0576,Low,Low,Low,185663.0,185.66,345.09,0.345,690180.0,0.69
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.680511677164695,-96.86300131,29782.69916270249,19358.75,1798.427875,577655.0,577.66,1582.6,43.9,3596,39674,0,7,0.0572,Low,Low,Low,193514.0,193.51,359.69,0.36,719380.0,0.719
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.857443971132525,-96.66197978,99376.16874838113,64594.51,6000.829979,1927467.0,1927.47,5280.7,146.6,6351,47327,0,7,0.1066,Medium,Medium,Low,645701.0,645.7,1200.17,1.2,2400340.0,2.4
Warehouse on International Parkway,warehouse,"Dallas County, Texas",International Parkway,32.85752898924832,-96.6639473,25032.04548165409,16270.83,1511.560107,485513.0,485.51,1330.2,36.9,6413,47085,0,8,0.0986,Low,Medium,Low,162647.0,162.65,302.31,0.302,604620.0,0.605
12750 Perimeter,warehouse,"Dallas County, Texas",Perimeter Drive,32.86004631249099,-96.65980317,182736.28540913944,118778.59,11034.531011,3544291.0,3544.29,9710.4,269.5,6196,47239,0,7,0.1143,High,Medium,Low,1187337.0,1187.34,2206.91,2.207,4413820.0,4.414
Warehouse on Corporate Drive,warehouse,"Dallas County, Texas",Corporate Drive,32.86055468862437,-96.66207621,174291.14337818648,113289.24,10524.570396,3380492.0,3380.49,9261.6,257.0,6251,46919,1,7,0.1141,High,Medium,Low,1132465.0,1132.46,2104.91,2.105,4209820.0,4.21
Warehouse on Shiloh Road,warehouse,"Dallas County, Texas",Shiloh Road,32.85612353112676,-96.66682582,101469.01950919686,65954.86,6127.206494,1968059.0,1968.06,5391.9,149.6,6475,46983,0,8,0.1087,Medium,Medium,Low,659300.0,659.3,1225.44,1.225,2450880.0,2.451
Commercial on Alpha Road,commercial,"Dallas County, Texas",Alpha Road,32.93228755000001,-96.809336,51491.56508402797,33469.52,3109.318408,998713.0,998.71,2736.2,75.9,12511,63581,12,45,0.1927,Medium,High,Medium,334569.0,334.57,621.86,0.622,1243720.0,1.244
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76072501007305,-96.88608931,332078.7275894353,215851.17,20052.573693,6440887.0,6440.89,17646.3,489.7,2353,34104,9,15,0.0749,High,Low,Medium,2157697.0,2157.7,4010.51,4.011,8021020.0,8.021
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.75866673336422,-96.88412414,1016860.7545689208,660959.49,61403.136621,19722687.0,19722.69,54034.8,1499.6,3042,36051,9,15,0.1672,High,Low,Medium,6607100.0,6607.1,12280.63,12.281,24561260.0,24.561
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76232983767438,-96.89078347,472430.7118225743,307079.96,28527.728284,9163106.0,9163.11,25104.4,696.7,1646,30736,8,14,0.0812,High,Low,Medium,3069641.0,3069.64,5705.55,5.706,11411100.0,11.411
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.761590570701685,-96.89347584,95275.10895219876,61928.82,5753.187378,1847924.0,1847.92,5062.8,140.5,1740,29611,2,14,0.0374,Medium,Low,Low,619055.0,619.05,1150.64,1.151,2301280.0,2.301
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76258932685527,-96.89285193,50968.448126391486,33129.49,3077.7296209999995,988567.0,988.57,2708.4,75.2,1637,29431,2,14,0.0305,Medium,Low,Low,331170.0,331.17,615.55,0.616,1231100.0,1.231
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76171069709222,-96.89255063,38966.96080890207,25328.52,2353.019508,755790.0,755.79,2070.7,57.5,1720,30064,2,14,0.0303,Low,Low,Low,253190.0,253.19,470.6,0.471,941200.0,0.941
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.76042232348517,-96.89714032,645544.2749220508,419603.78,38981.191162,12520759.0,12520.76,34303.4,952.0,1861,28233,2,14,0.1051,High,Low,Low,4194454.0,4194.45,7796.24,7.796,15592480.0,15.592
Commercial on North Cockrell Hill Road,commercial,"Dallas County, Texas",North Cockrell Hill Road,32.76035361837558,-96.90070589,314988.861,204742.76,19020.602404,6109417.0,6109.42,16738.1,464.5,1830,26329,2,14,0.065,High,Low,Low,2046655.0,2046.66,3804.12,3.804,7608240.0,7.608
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.76120939147416,-96.88239609,442647.8501527758,287721.1,26729.29019,8585448.0,8585.45,23521.8,652.8,2855,35746,12,15,0.0956,High,Low,Medium,2876125.0,2876.12,5345.86,5.346,10691720.0,10.692
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75297799214201,-96.88952529,360706.6501070012,234459.32,21781.270828,6996144.0,6996.14,19167.5,531.9,3303,35618,2,14,0.0925,High,Low,Low,2343708.0,2343.71,4356.25,4.356,8712500.0,8.712
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.753024963585275,-96.88565993,253986.2455490837,165091.06,15336.959474,4926231.0,4926.23,13496.5,374.6,3865,37734,2,14,0.088,High,Low,Low,1650287.0,1650.29,3067.39,3.067,6134780.0,6.135
Warehouse on Rock Quarry Road,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75347408730543,-96.88185427,247897.49866981985,161133.37,14969.290072999998,4808136.0,4808.14,13173.0,365.6,4347,39424,8,15,0.0945,High,Medium,Medium,1610726.0,1610.73,2993.86,2.994,5987720.0,5.988
Central Garden & Pet,warehouse,"Dallas County, Texas",Rock Quarry Road,32.75117508,-96.88591632,480799.8505287462,312519.9,29033.09871,9325431.0,9325.43,25549.1,709.1,4156,38097,1,14,0.1196,High,Medium,Low,3124019.0,3124.02,5806.62,5.807,11613240.0,11.613
Warehouse on North Cockrell Hill Road,warehouse,"Dallas County, Texas",North Cockrell Hill Road,32.750947215381984,-96.89016398,137414.44771634464,89319.39,8297.771331,2665244.0,2665.24,7302.0,202.6,3517,35725,3,14,0.0689,Medium,Low,Medium,892857.0,892.86,1659.55,1.66,3319100.0,3.319
Warehouse on West Davis Street,warehouse,"Dallas County, Texas",West Davis Street,32.751871687191134,-96.87825208,321238.5732948951,208805.07,19397.991003,6230635.0,6230.64,17070.2,473.7,5200,41509,7,15,0.116,High,Medium,Medium,2087263.0,2087.26,3879.6,3.88,7759200.0,7.759
Warehouse on Pinnacle Point Drive,warehouse,"Dallas County, Texas",Pinnacle Point Drive,32.762868707232506,-96.88684152,557957.7512520248,362672.54,33692.278966,10821960.0,10821.96,29649.2,822.8,1860,32681,10,15,0.0946,High,Low,Medium,3625357.0,3625.36,6738.46,6.738,13476920.0,13.477
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.773586723406474,-96.85962281,176863.51843727927,114961.29,10679.903841,3430385.0,3430.38,9398.3,260.8,4633,35709,3,34,0.0903,High,Medium,Medium,1149179.0,1149.18,2135.98,2.136,4271960.0,4.272
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.773591974441246,-96.86156945,96744.84189943096,62884.15,5841.937535,1876430.0,1876.43,5140.9,142.7,4377,34715,10,32,0.0768,Medium,Medium,Medium,628604.0,628.6,1168.39,1.168,2336780.0,2.337
Warehouse on West Commerce Street,warehouse,"Dallas County, Texas",West Commerce Street,32.77424026367785,-96.86309829,85405.67211959967,55513.69,5157.221801,1656500.0,1656.5,4538.4,126.0,4077,33906,10,32,0.071,Medium,Medium,Medium,554928.0,554.93,1031.44,1.031,2062880.0,2.063
Town East Mall,retail,"Dallas County, Texas",Town East Mall,32.80762585819485,-96.62365783,802542.5875746203,521652.68,48461.533972,15565845.0,15565.84,42646.2,1183.5,6118,39420,2,7,0.1874,High,Medium,Low,5214558.0,5214.56,9692.31,9.692,19384620.0,19.385
Commercial on Casa Linda Plaza,commercial,"Dallas County, Texas",Casa Linda Plaza,32.834051770390296,-96.69981789,102669.19645852812,66734.98,6199.679641999999,1991337.0,1991.34,5455.7,151.4,4571,49355,2,7,0.0804,Medium,Medium,Low,667098.0,667.1,1239.94,1.24,2479880.0,2.48
Commercial on Garland Road,commercial,"Dallas County, Texas",Garland Road,32.83391393172633,-96.70120607,20999.38163397491,13649.6,1268.04784,407297.0,407.3,1115.9,31.0,4475,49269,2,7,0.0692,Low,Medium,Low,136444.0,136.44,253.61,0.254,507220.0,0.507
Commercial on North Buckner Boulevard,commercial,"Dallas County, Texas",North Buckner Boulevard,32.83500174,-96.70206281,63067.50265883527,40993.88,3808.331452,1223236.0,1223.24,3351.3,93.0,4408,49624,3,7,0.0733,Medium,Medium,Medium,409784.0,409.78,761.67,0.762,1523340.0,1.523
Commercial on South Field Street,commercial,"Dallas County, Texas",South Field Street,32.77754405,-96.79947765,51226.45739606969,33297.2,3093.30988,993571.0,993.57,2722.1,75.5,11900,83467,70,125,0.1835,Medium,High,High,332846.0,332.85,618.66,0.619,1237320.0,1.237
Commercial on South Griffin Street,commercial,"Dallas County, Texas",South Griffin Street,32.77733802295295,-96.80176356,27010.58498551289,17556.88,1631.034152,523888.0,523.89,1435.3,39.8,11533,83238,66,125,0.1751,Low,High,High,175502.0,175.5,326.21,0.326,652420.0,0.652
Three AT&T Plaza,commercial,"Dallas County, Texas",South Akard Street,32.778886316845224,-96.7988024,38927.04735126692,25302.58,2350.609682,755016.0,755.02,2068.5,57.4,12922,85054,74,125,0.1973,Low,High,High,252930.0,252.93,470.12,0.47,940240.0,0.94
Comerica Bank,commercial,"Dallas County, Texas",Main Street,32.78161058,-96.7965282,58797.20712400137,38218.18,3550.468922,1140411.0,1140.41,3124.4,86.7,15172,87984,76,125,0.2332,Medium,High,High,382038.0,382.04,710.09,0.71,1420180.0,1.42
Dallas Bus Station,commercial,"Dallas County, Texas",South Lamar Street,32.77837939485122,-96.80441582,41335.733946647415,26868.23,2496.058567,801734.0,801.73,2196.5,61.0,11863,84486,71,127,0.1818,Low,High,High,268581.0,268.58,499.21,0.499,998420.0,0.998
Commercial on South Austin Street,commercial,"Dallas County, Texas",South Austin Street,32.76464387290466,-96.79451471,476874.13564118784,309968.19,28796.044851,9249290.0,9249.29,25340.5,703.3,4698,65134,8,109,0.1272,High,Medium,Medium,3098512.0,3098.51,5759.21,5.759,11518420.0,11.518
Warehouse on Parker Street,warehouse,"Dallas County, Texas",Parker Street,32.76499174228774,-96.78503205,241763.0989476593,157146.01,14598.864329,4689155.0,4689.16,12847.0,356.5,4114,63342,5,106,0.0903,High,Medium,Medium,1570867.0,1570.87,2919.77,2.92,5839540.0,5.84
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.972434,-97.0184165,103192.44784891664,67075.09,6231.275860999999,2001486.0,2001.49,5483.5,152.2,1938,25075,1,8,0.0413,Medium,Low,Low,670498.0,670.5,1246.26,1.246,2492520.0,2.493
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.97242000000001,-97.016303,63354.75675918217,41180.59,3825.676811,1228807.0,1228.81,3366.6,93.4,1946,25504,1,8,0.0366,Medium,Low,Low,411650.0,411.65,765.14,0.765,1530280.0,1.53
Retail on West Sandy Lake Road,retail,"Dallas County, Texas",West Sandy Lake Road,32.97250525000001,-97.02368225,58152.63378562181,37799.21,3511.546609,1127909.0,1127.91,3090.2,85.8,1915,23905,3,8,0.0355,Medium,Low,Medium,377850.0,377.85,702.31,0.702,1404620.0,1.405
Warehouse on West Sandy Lake Road,warehouse,"Dallas County, Texas",West Sandy Lake Road,32.97528833452704,-97.02157281,597958.5220008332,388673.04,36107.725416,11597801.0,11597.8,31774.8,881.8,1975,26283,3,8,0.1011,High,Low,Medium,3885263.0,3885.26,7221.55,7.222,14443100.0,14.443
Retail on Freeport Parkway,retail,"Dallas County, Texas",Freeport Parkway,32.97487304818557,-97.01641121,196811.34023710663,127927.37,11884.452673,3817286.0,3817.29,10458.3,290.2,1997,27249,1,8,0.0534,High,Low,Low,1278791.0,1278.79,2376.89,2.377,4753780.0,4.754
Warehouse on Esters Boulevard,warehouse,"Dallas County, Texas",Esters Boulevard,32.92843195000001,-97.02563775,477126.4185,310132.17,28811.278593,9254183.0,9254.18,25353.9,703.6,317,9024,1,29,0.0619,High,Low,Low,3100151.0,3100.15,5762.26,5.762,11524520.0,11.525
Warehouse on North 28th Avenue,warehouse,"Dallas County, Texas",North 28th Avenue,32.92839055,-97.0222021,255462.25869722664,166050.47,15426.088663,4954860.0,4954.86,13575.0,376.7,454,9051,2,28,0.0374,High,Low,Low,1659878.0,1659.88,3085.22,3.085,6170440.0,6.17
Amazon Fulfillment Center DFW8,warehouse,"Dallas County, Texas",Regent Boulevard,32.93969044764095,-97.02836135,629454.5614024416,409145.46,38009.613234,12208688.0,12208.69,33448.5,928.3,307,11522,0,30,0.08,High,Low,Low,4089910.0,4089.91,7601.92,7.602,15203840.0,15.204
Warehouse on Trade Avenue,warehouse,"Dallas County, Texas",Trade Avenue,32.93954259466779,-97.02484767,235971.3413255789,153381.37,14249.129273,4576820.0,4576.82,12539.2,348.0,484,11854,1,28,0.0355,High,Low,Low,1533235.0,1533.24,2849.83,2.85,5699660.0,5.7
Warehouse on Regent Boulevard,warehouse,"Dallas County, Texas",Regent Boulevard,32.943437050000014,-97.027206,404517.4941656828,262936.37,24426.788773,7845885.0,7845.88,21495.6,596.6,484,12559,0,24,0.0557,High,Low,Low,2628371.0,2628.37,4885.36,4.885,9770720.0,9.771
Industrial on Regent Boulevard,industrial,"Dallas County, Texas",Regent Boulevard,32.94166262117937,-97.01865241,385976.6924109903,250884.85,23307.202565,7486273.0,7486.27,20510.3,569.2,867,13043,0,23,0.0592,High,Low,Low,2507901.0,2507.9,4661.44,4.661,9322880.0,9.323
Industrial on Regent Boulevard,industrial,"Dallas County, Texas",Regent Boulevard,32.94120514484797,-97.01620798,182892.1152939901,118879.87,11043.939923,3547314.0,3547.31,9718.7,269.7,997,13634,1,20,0.0368,High,Low,Low,1188350.0,1188.35,2208.79,2.209,4417580.0,4.418
