name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on International Parkway,commercial,"Dallas County, Texas",International Parkway,32.970808658799534,-96.70707676,69155.79427,44951.27,4175.972983,1341323.0,1341.32,3674.9,102.0,3460,45384,8,34,0.0599,Medium,Low,Medium,449343.0,449.34,835.19,0.835,1670380.0,1.67
Commercial on North Glenville Drive,commercial,"Dallas County, Texas",North Glenville Drive,32.96926801170842,-96.70703847,39894.90246314574,25931.69,2409.054001,773788.0,773.79,2120.0,58.8,3474,46064,8,33,0.0566,Low,Low,Medium,259219.0,259.22,481.81,0.482,963620.0,0.964
Promenade Shopping Center,commercial,"Dallas County, Texas",North Coit Road,32.95520054064879,-96.76809975,167125.76453810203,108631.75,10091.889575,3241515.0,3241.52,8880.9,246.5,5410,61957,0,31,0.1007,High,Medium,Low,1085908.0,1085.91,2018.38,2.018,4036760.0,4.037
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97274210985721,-96.72206369,31565.442213603543,20517.54,1906.079466,612233.0,612.23,1677.4,46.6,4040,45427,4,39,0.064,Low,Medium,Medium,205098.0,205.1,381.22,0.381,762440.0,0.762
Office on Gateway Boulevard,office,"Dallas County, Texas",Gateway Boulevard,32.97174369431906,-96.72206434,31776.67552731472,20654.84,1918.834636,616330.0,616.33,1688.6,46.9,3978,45714,4,39,0.0631,Low,Medium,Medium,206471.0,206.47,383.77,0.384,767540.0,0.768
The Plaza,commercial,"Dallas County, Texas",Richardson Drive,32.96751777663472,-96.72795188,49711.89644087618,32312.73,3001.852617,964195.0,964.2,2641.6,73.3,4274,49230,1,43,0.0697,Medium,Medium,Low,323005.0,323.0,600.37,0.6,1200740.0,1.201
Commercial on Wisteria Way,commercial,"Dallas County, Texas",Wisteria Way,32.96399761904659,-96.75082875,52529.09040415675,34143.91,3171.969239,1018837.0,1018.84,2791.3,77.5,4776,50981,0,39,0.0775,Medium,Medium,Low,341310.0,341.31,634.39,0.634,1268780.0,1.269
Kraft,industrial,"Dallas County, Texas",Forest Lane,32.90720558385896,-96.66341399,610072.7664390603,396547.3,36839.24417,11832765.0,11832.76,32418.5,899.7,4096,46901,1,5,0.1342,High,Medium,Low,3963976.0,3963.98,7367.85,7.368,14735700.0,14.736
Forum 3,office,"Dallas County, Texas",Belt Line Road,32.951918720606564,-96.84674063,47916.31557622161,31145.61,2893.427169,929369.0,929.37,2546.2,70.7,5810,67258,6,43,0.0923,Medium,Medium,Medium,311339.0,311.34,578.69,0.579,1157380.0,1.157
Office on Addison Road,office,"Dallas County, Texas",Addison Road,32.96935582015243,-96.82829103,57581.01359868545,37427.66,3477.029614,1116822.0,1116.82,3059.8,84.9,7570,80243,5,40,0.1197,Medium,Medium,Medium,374135.0,374.14,695.41,0.695,1390820.0,1.391
Storage Star Forest Lane,commercial,"Dallas County, Texas",Forest Lane,32.908539511261175,-96.88447078,79069.61326334414,51395.25,4774.618725,1533608.0,1533.61,4201.7,116.6,4761,33221,1,22,0.0804,Medium,Medium,Low,513759.0,513.76,954.92,0.955,1909840.0,1.91
Southwest Kia Mesquite,retail,"Dallas County, Texas",Oates Drive,32.83856195001451,-96.63162427,32604.101227508498,21192.67,1968.799043,632378.0,632.38,1732.5,48.1,5755,48596,2,5,0.0897,Low,Medium,Low,211847.0,211.85,393.76,0.394,787520.0,0.788
Commercial on Royal Lane,commercial,"Dallas County, Texas",Royal Lane,32.89552854,-96.89288359,29501.82343002631,19176.19,1781.4680509999998,572208.0,572.21,1567.7,43.5,3071,33604,4,18,0.0493,Low,Low,Medium,191690.0,191.69,356.29,0.356,712580.0,0.713
Commercial on North Central Expressway,commercial,"Dallas County, Texas",North Central Expressway,32.86285483863633,-96.76849218,27682.834564152123,17993.84,1671.627736,536927.0,536.93,1471.0,40.8,15536,69528,3,14,0.2349,Low,High,Medium,179871.0,179.87,334.33,0.334,668660.0,0.669
High Point Center,commercial,"Dallas County, Texas",Greenville Avenue,32.91435962245566,-96.74601286,41004.04369338787,26652.63,2476.029327,795301.0,795.3,2178.9,60.5,8006,70128,0,21,0.1242,Low,Medium,Low,266426.0,266.43,495.21,0.495,990420.0,0.99
Good Coworking,commercial,"Dallas County, Texas",South Good-Latimer Expressway,32.77552699,-96.78079075,34116.45501287862,22175.7,2060.12253,661711.0,661.71,1812.9,50.3,6810,77815,10,117,0.1056,Low,Medium,Medium,221673.0,221.67,412.02,0.412,824040.0,0.824
Office on Montfort Drive,office,"Dallas County, Texas",Montfort Drive,32.93504185452204,-96.81559478,37731.69163339575,24525.6,2278.42824,731831.0,731.83,2005.0,55.6,14488,61683,17,45,0.2205,Low,High,High,245163.0,245.16,455.69,0.456,911380.0,0.911
