name,building,Building_Sq_Ft,county,latitude,longitude
,commercial,34269.543053253794,"Dallas County, Texas",32.78236361278369,-96.80630973
Oncor,office,41956.395504666965,"Dallas County, Texas",32.78661561855194,-96.80339724
,commercial,34805.00261005334,"Dallas County, Texas",32.78677409451384,-96.8090221
,commercial,31511.68105860055,"Dallas County, Texas",32.786031048070434,-96.79761527
717 Harwood,office,32297.378776211142,"Dallas County, Texas",32.78559241370414,-96.79811253
Plaza of the Americas,commercial,87212.77699215758,"Dallas County, Texas",32.78723984394848,-96.79529227
,commercial,21058.011936881117,"Dallas County, Texas",32.78722229151115,-96.79418279
Trammell Crow Center,commercial,27315.91785475998,"Dallas County, Texas",32.78761615812136,-96.79924565
The Link,office,27296.46233752086,"Dallas County, Texas",32.79060903096116,-96.80612493
,commercial,78500.99754788977,"Dallas County, Texas",32.78786245230646,-96.81425048
,commercial,54011.12877902134,"Dallas County, Texas",32.79229970790499,-96.81765954
,commercial,101106.10726970322,"Dallas County, Texas",32.79246312099956,-96.81965279
,industrial,82246.00545878464,"Dallas County, Texas",32.77032188,-96.8330153
Cash Saver,retail,52322.534381580495,"Dallas County, Texas",32.68553333370259,-96.78812433
,commercial,30125.22923,"Dallas County, Texas",32.69610674801482,-96.79453539
,commercial,29521.342714938222,"Dallas County, Texas",32.69806805,-96.79099612
,warehouse,411827.3241308305,"Dallas County, Texas",32.779263334166096,-96.66858043
,industrial,531549.3079789834,"Dallas County, Texas",32.7815555,-96.64957725
,warehouse,260674.0974,"Dallas County, Texas",32.77864698302039,-96.6352457
,warehouse,220194.19887440544,"Dallas County, Texas",32.78572878543739,-96.67134177
,warehouse,20830.435671461415,"Dallas County, Texas",32.785268200000004,-96.67295685
,commercial,226803.99250943525,"Dallas County, Texas",32.78778747517654,-96.67365236
,warehouse,444332.8029153257,"Dallas County, Texas",32.79446565,-96.67760036
,industrial,194645.44653166292,"Dallas County, Texas",32.77229657896383,-96.64767365
,industrial,405378.4548254738,"Dallas County, Texas",32.77453595701401,-96.62639202
,warehouse,277904.5201004977,"Dallas County, Texas",32.885104808897324,-96.68454207
,warehouse,215385.46323024388,"Dallas County, Texas",32.89080300045587,-96.6920843
,warehouse,180798.66416626234,"Dallas County, Texas",32.88991229140168,-96.69211663
,warehouse,253298.9498415728,"Dallas County, Texas",32.88379689635672,-96.68664598
,warehouse,99848.19802598219,"Dallas County, Texas",32.883781003292775,-96.68927472
